accessionYear,artistGender,artistNationality,culture,department,isHighlight,isTimelineWork,objectEndDate,objectID,objectName
1928,"",Italian,"Italian, Brescia",Arms and Armor,false,false,1685,23048,Pair of flintlock pistols
1929,"",Austrian,"Austrian, Innsbruck",Arms and Armor,false,false,1520,23138,Backplate
1929,"",German,"German, Augsburg",Arms and Armor,false,true,1525,23208,Pair of tournament pauldrons (shoulder defenses)
1917,"","",Japanese,Arms and Armor,false,false,600,22652,"Bells, probably for a horse harness"
1917,"",Japanese,Japanese,Arms and Armor,false,false,1794,22720,Scroll
1929,"","",German,Arms and Armor,false,false,1525,22785,"Helmets, pate defense"
1936,"","",Japanese,Arms and Armor,false,false,1900,24224,Pair of shoulder guards (Sodē)
1936,"","",Japanese,Arms and Armor,false,false,1675,24237,Pair of greaves (Sunē-atē)
1936,"","",Japanese,Arms and Armor,false,false,1893,24280,Bit
1936,"","",Balinese,Arms and Armor,false,false,1900,24304,Knife (Golok)
1936,"","",Japanese,Arms and Armor,false,false,1900,24354,Blade for a sword (Katana)
1936,"","",Japanese,Arms and Armor,false,false,1900,24055,Helmet (hanburi)
1913,"","",French,Arms and Armor,false,false,1800,25829,Banner
1913,"","","Chinese, Yan kingdom",Arms and Armor,false,false,-200,25836,Dagger-ax (<i>Ge</i>)
1929,"","",Italian,Arms and Armor,false,false,1505,23326,Bevor
1932,"",Japanese,Japanese,Arms and Armor,false,false,1645,23393,Ceremonial arrowhead (<i>Yanone</i>)
1932,"","",Japanese,Arms and Armor,false,false,1799,23476,Arrowhead (<i>Yanone</i>)
1932,"","",Japanese,Arms and Armor,false,false,1900,23573,Arrowhead (<i>Yanone</i>)
1932,"","",Japanese,Arms and Armor,false,false,1800,23587,Arrowhead (<i>Yanone</i>)
1932,"","",Japanese,Arms and Armor,false,false,1800,23612,Arrowhead (<i>Yanone</i>)
1932,"","",Japanese,Arms and Armor,false,false,1800,23620,Arrowhead (<i>Yanone</i>)
1896,"","","Balkan; barrel, Russian; lock, Italian",Arms and Armor,false,false,1800,25036,Pair of flintlock pistols
1936,"","",Japanese,Arms and Armor,false,false,1900,24443,Women's spear with sheath (Naginata)
1936,"","",Japanese,Arms and Armor,false,false,1900,24536,Powder flask
1946,"","",Japanese,Arms and Armor,false,false,1900,26326,Sword guard (Tsuba)
1946,"","",Japanese,Arms and Armor,false,false,1825,26344,Sword guard (Tsuba)
1942,"","",Eastern European,Arms and Armor,false,false,1575,24699,Hungarian-style shield
1945,"",Japanese,Japanese,Arms and Armor,false,false,1650,24724,Set of sword fittings (Mitokoromono)
1983,"","","German, Nuremberg",Arms and Armor,false,false,1900,24894,Pair of cuisses with poleyns for a boy
1997,"",Japanese,Japanese,Arms and Armor,false,false,1800,24964,Stirrups (<i>Abumi</i>)
1896,"","",Italian,Arms and Armor,false,false,1600,25019,Halberd
1896,"","","German, Saxony",Arms and Armor,false,false,1800,25026,Ceremonial miner's axe
1914,"","",Italian,Arms and Armor,false,false,1600,26879,Close helmet
1914,"","",possibly Italian,Arms and Armor,false,false,1700,27035,Halberd-Spontoon
1946,"",American,American,The American Wing,false,false,1870,9940,Wine glass
1946,"","",American,The American Wing,false,false,1870,9949,Wine glass
1972,"",American,American,The American Wing,false,false,1903,10023,Table
1929,"",American,American,The American Wing,false,false,1919,10103,Bust
1978,"","American, born Austria",American,The American Wing,false,false,1900,10170,Pulpit
1972,"",French,"French, Paris",Arms and Armor,false,false,1875,27367,Cased pair of percussion pistols
1914,"","",German,Arms and Armor,false,false,1625,27439,Rapier
1943,"","",Japanese,Arms and Armor,false,false,1900,26022,Sword-hilt collar and pommel (Fuchigashira)
1943,"","",Japanese,Arms and Armor,false,false,1799,26035,Sword-hilt collar and pommel (Fuchigashira)
1936,"","",Japanese,Arms and Armor,false,false,1900,26138,Knife handle (Kozuka)
1914,"","",Italian,Arms and Armor,false,false,1625,26189,Partisan
1946,"","",Japanese,Arms and Armor,false,false,1700,26293,Sword guard (Tsuba)
1943,"","",Japanese,Arms and Armor,false,false,1900,28127,Knife handle (Kozuka)
1943,"","",Japanese,Arms and Armor,false,false,1900,28176,Knife handle (Kozuka)
1999,"","",Eastern Tibetan or Chinese,Arms and Armor,false,false,1825,26635,Saddle
1914,"","","French, Burgundy",Arms and Armor,false,false,1495,26713,Pollaxe
1914,"","",Swiss,Arms and Armor,false,false,1750,26715,Partisan
1943,"","",Japanese,Arms and Armor,false,false,1900,28477,Sword guard (Tsuba)
1943,"","",Japanese,Arms and Armor,false,false,1900,28555,Sword guard (Tsuba)
1943,"","",Japanese,Arms and Armor,false,false,1900,28661,Sword-hilt collar and pommel (Fuchigashira)
1978,"","","Native American, South West, Apache (?)",Arms and Armor,false,false,1900,27230,Bow and arrows with quiver and bow case
1943,"","",Japanese,Arms and Armor,false,false,1900,28924,Sword-hilt collar and pommel (Fuchigashira)
1938,"","",Japanese,Arms and Armor,false,false,1800,29396,Knife handle (Kozuka)
1938,"","",Japanese,Arms and Armor,false,false,1800,29452,Pair of sword-grip ornaments (Menuki)
1938,"","",Japanese,Arms and Armor,false,false,1800,29464,Pair of sword-grip ornaments (Menuki)
1938,"","",Japanese,Arms and Armor,false,false,1900,29540,Sword guard (Tsuba)
1937,"","","Colonial American, Ticonderoga, New York",Arms and Armor,false,false,1759,29566,Powder horn
1943,"","",Japanese,Arms and Armor,false,false,1900,28732,Sword-hilt collar and pommel (Fuchigashira)
1936,"","",Japanese,Arms and Armor,false,false,1900,30053,Sword guard (Tsuba)
1936,"","",Javanese,Arms and Armor,false,false,1900,30149,Blowpipe
1936,"","",Indian,Arms and Armor,false,false,1700,30173,Quoit
1936,"","",Chinese,Arms and Armor,false,false,1900,30209,Archer's ring
1936,"","",Chinese,Arms and Armor,false,false,1900,30215,Archer's ring
1936,"","",Turkish,Arms and Armor,false,false,1900,30278,Horn Groove (Sipar)
1936,"","",Indian or Bhutanese,Arms and Armor,false,false,1900,30308,Bow with quiver and eight arrows
1942,"","",Italian,Arms and Armor,false,false,1600,29028,Sword pommel
1942,"","",Italian,Arms and Armor,false,false,1600,29031,Sword pommel
1942,"","",possibly Italian,Arms and Armor,false,false,1650,29155,Bit boss
1942,"","",Central European,Arms and Armor,false,false,1200,29187,Spur
1942,"","",German,Arms and Armor,false,false,1800,29233,Spur
1942,"","",Argentinian,Arms and Armor,false,false,1900,29322,Stirrups
1936,"","",Turkish,Arms and Armor,false,false,1800,30596,Miquelet gun
1943,"","",Japanese,Arms and Armor,false,false,1900,25207,Knife handle (Kozuka)
1943,"",Japanese,Japanese,Arms and Armor,false,false,1900,25280,Knife handle (Kozuka)
1943,"",Japanese,Japanese,Arms and Armor,false,false,1860,25339,Knife handle (Kozuka)
1904,"","",Spanish,Arms and Armor,false,false,1400,25440,Badge or harness pendant
1904,"","",Spanish,Arms and Armor,false,false,1500,25489,Badge or harness pendant
1904,"","",Spanish,Arms and Armor,false,false,1400,25503,Badge or harness pendant
1904,"","",Spanish,Arms and Armor,false,false,1500,25544,Badge or harness pendant
1904,"","",Spanish,Arms and Armor,false,false,1400,25545,Badge or harness pendant
1907,"","",Western European,Arms and Armor,false,false,1250,25601,Sword
1936,"","",Burmese,Arms and Armor,false,false,1799,31586,Dagger with sheath (Dah Hmyaung or Dha)
1936,"","",Japanese,Arms and Armor,false,false,1900,31598,Blade and mounting for a dagger (Kwaiken)
1936,"","","Indonesian, Sumbawa",Arms and Armor,false,false,1900,31257,Kris with sheath
1936,"","",Turkish,Arms and Armor,false,false,1825,31298,Sword (Kilij) with scabbard
1936,"","",Javanese,Arms and Armor,false,false,1900,31333,Kris with sheath
1936,"","",Japanese,Arms and Armor,false,false,1800,29691,Knife handle (Kozuka)
1936,"","",Japanese,Arms and Armor,false,false,1852,29924,Knife handle (Kozuka)
1934,"","",French,Arms and Armor,false,false,1775,32152,Page's sword
1934,"","",French,Arms and Armor,false,false,1805,32154,Smallsword
1932,"","",German,Arms and Armor,false,false,1700,32225,Linstock
1932,"","",Persian,Arms and Armor,false,false,1900,32255,Dagger with sheath
1932,"","",German,Arms and Armor,false,false,1627,32308,Wheellock rifle
1932,"","",Swiss,Arms and Armor,false,false,1450,32350,Halberd
1936,"","",Javanese,Arms and Armor,false,false,1900,30767,Bident spearhead
1936,"","","Indian, Khond",Arms and Armor,false,false,1900,30802,Axe
1936,"","","Malaysian, Sarawak",Arms and Armor,false,false,1900,30827,Axe (Biliong)
1936,"","",Japanese,Arms and Armor,false,false,1900,30882,Blade and mounting for a dagger (Tantō)
1926,"","",Italian,Arms and Armor,false,false,1575,32536,Poignard
1926,"","",Spanish,Arms and Armor,false,false,1700,32598,Dirk
1926,"","","Spanish, possibly Catalonia",Arms and Armor,false,false,1700,32600,Dirk
1914,"","",German,Arms and Armor,false,false,1575,33655,Shaffron (Horse's head defense)
1921,"","",German,Arms and Armor,false,false,1560,33024,Pair of foot defenses (Sabatons)
1920,"","",Merovingian,Arms and Armor,false,false,525,33212,Part of a buckle shank
1919,"","",Japanese,Arms and Armor,false,false,1700,33382,Sword guard (Tsuba)
1929,"","","Italian, Venice",Arms and Armor,false,false,1590,34126,Shield
1929,"","",Italian,Arms and Armor,false,false,1600,34135,Shield fragment
1929,"","",German,Arms and Armor,false,false,1575,34197,Top plate of a crinet
1929,"","",German,Arms and Armor,false,false,1400,34216,"Mail gauntlet, fingered"
1929,"","",Japanese,Arms and Armor,false,false,1900,34424,Sword guard (Tsuba)
1926,"","",French,Arms and Armor,false,false,1580,32736,Poignard
1926,"","","Caucasian, possibly Kubachi, Dagestan",Arms and Armor,false,false,1819,32744,Dagger (Kindjal) with scabbard
1923,"","",German,Arms and Armor,false,false,1925,32927,Seal reproduction
1929,"","",Japanese,Arms and Armor,false,false,1900,34739,Sword-hilt collar (Fuchi)
1928,"","",Italian,Arms and Armor,false,false,1600,34807,Powder flask
1928,"","",French,Arms and Armor,false,false,1800,34824,Model of a cannon
1914,"","",Italian,Arms and Armor,false,false,1600,33862,Axe
1914,"","",Sardinian,Arms and Armor,false,false,1750,33879,Miquelet gun
1929,"","","German, Saxony",Arms and Armor,false,false,1584,33987,Cartridge box
1986,"",Chinese,China,Asian Art,false,false,1929,36211,Folding fan mounted as an album leaf
1914,"","",German,Arms and Armor,false,false,1700,33548,Bit
1914,"",French,French,Arms and Armor,false,false,1605,35867,Pair of wheellock pistols with matching priming flask/spanner
1934,"",Chinese,China,Asian Art,false,false,1934,36045,Hanging scroll
1956,"",Chinese,China,Asian Art,false,false,1850,36075,Hanging scroll
1975,"","",Japan,Asian Art,false,false,1631,36108,Votive painting
1981,"",Chinese,China,Asian Art,false,false,1697,36134,Folding fan mounted as an album leaf
2015,"","","India, Tamil Nadu",Asian Art,true,false,1199,37397,Figure
1986,"","",Pakistan (ancient region of Gandhara),Asian Art,false,false,399,37410,Earring(?)
1929,"","",Japanese,Arms and Armor,false,false,1900,34517,Knife handle (Kozuka)
1914,"",Japanese,Japan,Asian Art,false,false,1848,36551,Print
1914,"",Japanese,Japan,Asian Art,false,false,1848,36571,Print
1914,"",Japanese,Japan,Asian Art,false,false,1810,36622,Print
1918,"",Japanese,Japan,Asian Art,false,false,1845,36711,Print
1946,"","",Japanese,Arms and Armor,false,false,1900,35288,Sword guard (Tsuba)
1946,"","",Japanese,Arms and Armor,false,false,1900,35353,Scabbard chape (Kojiri)
1914,"","",Italian,Arms and Armor,false,false,1590,35381,Powder flask
2011,"",Spanish or Mexican,"Colonial Spanish, probably Mexico",Arms and Armor,false,false,1757,35702,Pair of miquelet pistols
1929,"","",Italian,Arms and Armor,false,false,1450,35734,Right and left breastplates from a brigandine
1919,"",Indian,"India, Punjab Hills, kingdom of Guler",Asian Art,false,false,1735,37948,Folio
1979,"","",India (Orissa),Asian Art,false,false,1799,37998,Folio
1979,"","","India (Rajasthan, Marwar)",Asian Art,false,false,1725,38023,Painting
1996,"","","India (Rajasthan, Bikaner)",Asian Art,false,true,1880,38044,Painting
1987,"","",Pakistan (ancient region of Gandhara),Asian Art,false,false,99,38101,Rondel
1918,"",Japanese,Japan,Asian Art,false,false,1771,36901,Woodblock print (nishiki-e)
1911,"",Japanese,Japan,Asian Art,false,false,1852,37208,Print
1929,"",Japanese,Japan,Asian Art,false,false,1790,37337,Print
1986,"",Chinese,China,Asian Art,false,false,1969,36318,Folding fan mounted as an album leaf
1985,"","",Pakistan (ancient region of Gandhara),Asian Art,false,false,150,38370,Rondel
1964,"","","India, Odisha",Asian Art,false,true,1599,38516,Figure
1920,"","",India,Asian Art,false,false,1799,38724,Figure
2000,"","",Pakistan (ancient region of Gandhara),Asian Art,false,false,450,37541,Seal
1991,"","",Vietnam,Asian Art,true,false,1499,37557,Bottle
1995,"","",Nepal,Asian Art,false,true,1550,37631,Textile panel
1986,"","",India,Asian Art,false,false,750,37682,Scepter
1987,"","",Indonesia (Java),Asian Art,false,false,1199,37712,Bowl
1987,"","",Indonesia (Java),Asian Art,false,false,1199,37717,Ladle
1958,"","","India (Rajasthan, Amber)",Asian Art,false,false,1733,37859,Folio
1978,"","","India (Bikaner, Rajasthan)",Asian Art,false,false,1705,37863,Folio
1899,"","",Pakistan (ancient region of Gandhara),Asian Art,false,false,180,39430,Coin
1997,"","",Japan,Asian Art,false,true,1333,39482,Hanging scroll
2005,"",Chinese,China,Asian Art,false,true,1333,39545,Handscroll
1972,"",Chinese,China,Asian Art,false,false,1633,39558,Hanging scroll
1922,"","",China,Asian Art,false,false,1279,39562,Bowl
1996,"","",Indonesia (Java),Asian Art,false,false,1299,39602,Halberd head
1998,"","",China,Asian Art,false,false,1368,39827,"Woven textile with wan (swastika) motif, inscribed silk (tabby)"
1994,"","",Pakistan (ancient region of Gandhara),Asian Art,false,false,599,38224,Portable shrine
2015,"","",China,Asian Art,false,false,1799,40270,Tea chest
1929,"","",Japan,Asian Art,false,false,1899,40350,Panel
1973,"",Chinese,China,Asian Art,false,false,1318,40456,Hanging scrolls
2015,"","",Japan,Asian Art,false,false,1699,40477,Food boxes
1930,"","",Tibet,Asian Art,false,false,1643,38840,Plaque
1930,"","",Tibet (Central Asia?),Asian Art,false,false,1699,38859,Votive plaque
1885,"","",Cambodia,Asian Art,false,false,950,38879,Head
1924,"","",China,Asian Art,false,false,1899,40840,Dish
1924,"","",China,Asian Art,false,false,1900,40900,Cup
1924,"","",China,Asian Art,false,false,1795,40931,Buckle
1924,"","",China,Asian Art,false,false,1795,40934,Cup
1926,"","",China,Asian Art,false,false,1279,41054,Imperial seal
1902,"","",China,Asian Art,false,false,1833,41117,Snuff bottle
1930,"","",Central Asia,Asian Art,false,false,799,39979,Relief fragment
1973,"",Chinese,China,Asian Art,true,true,1305,40081,Handscroll
2015,"","",China,Asian Art,false,false,1349,40181,Box
1908,"","",China,Asian Art,false,false,1610,41881,Cup
1908,"","",China,Asian Art,false,false,1499,41930,Figure
1902,"","",China,Asian Art,false,false,1835,41944,Vessel
1987,"","",Indonesia (Java),Asian Art,false,false,925,39079,Finial
1948,"","",Tibet,Asian Art,false,false,1795,39270,Shrine
1995,"","",Indonesia (Kalimantan),Asian Art,false,false,850,39298,Figure fragment
1974,"","",Pakistan (Swat Valley),Asian Art,true,false,699,39346,Figure
1924,"","",China,Asian Art,false,false,1733,42360,Vase
1929,"","",China,Asian Art,false,false,100,42369,Jar
1921,"","",China,Asian Art,false,false,1795,41393,Snuff bottle
1989,"",Chinese,China,Asian Art,false,false,1349,41451,Hanging scroll
1921,"","",China,Asian Art,false,false,1899,41465,Snuff bottle
1986,"",Chinese,China,Asian Art,false,false,1933,41495,Hanging scroll
1986,"",Chinese,China,Asian Art,false,false,1942,41500,Folding fan mounted as an album leaf
1921,"","",China,Asian Art,false,false,1795,41523,Snuff bottle
1921,"","",China,Asian Art,false,false,1795,41643,Snuff bottle
1921,"","",China,Asian Art,false,false,1735,41652,Snuff bottle
1929,"","",China,Asian Art,false,false,1735,41686,Snuff bottle
1929,"","",China,Asian Art,false,false,1795,41700,Snuff bottle
1951,"","",China,Asian Art,false,false,1795,41725,Snuff bottle
1893,"","",Japan,Asian Art,false,false,1780,41785,Brush holder
1930,"",Chinese,China,Asian Art,false,false,1722,41790,Ink tablet
1930,"",Chinese,China,Asian Art,false,false,1933,41830,Ink tablet
1902,"","",China,Asian Art,false,false,1722,43808,Vase with cover
1902,"","",China,Asian Art,false,false,1899,43810,Figure
1929,"","",China,Asian Art,false,false,1799,40709,Ewer
1929,"","",China,Asian Art,false,false,1644,40730,Incense burner
1902,"","",Tibet,Asian Art,false,false,1902,43456,Fragment
1902,"","",Germany,Asian Art,false,false,1902,43545,Fragment
1994,"","",China,Asian Art,false,false,225,44430,Model of mill
1989,"","",China,Asian Art,false,false,1733,44579,Breadth of woven textile
1989,"","",Japan,Asian Art,false,true,1799,44604,Noh costume
1924,"","",China,Asian Art,false,true,-1000,42173,Wine beaker
1992,"","",China,Asian Art,true,true,-100,42178,Figure
1979,"","",China,Asian Art,false,false,1633,42190,Vase
1914,"","",China,Asian Art,false,false,1733,42203,Vase
1975,"","",Japan,Asian Art,false,false,1333,44889,Hanging scroll
1939,"",Japanese,Japan,Asian Art,false,false,1808,45097,Print
1902,"","",China,Asian Art,false,false,1795,43892,Vase with cover
1902,"","",China,Asian Art,false,false,1795,43971,Urn with cover
1902,"","",New Zealand,Asian Art,false,false,1899,44047,Pendant
